date,target,revenue,stock,total_promo_rate_1,total_promo_rate_2,target_winsorized
2018-01-29,49951.742,187876.30999999685,16.35854711230588,1015.0,0.0,49951.742
2018-02-05,50738.63200000001,200474.5299999981,16.527863757222477,476.0,0.0,50738.63200000001
2018-02-12,51280.599999999984,192272.14000000013,16.436343908318186,654.0,0.0,51280.599999999984
2018-02-19,50118.956999999995,200774.41999999725,16.43305892280043,436.0,0.0,50118.956999999995
2018-02-26,50381.929,198696.42999999854,16.514974765919586,174.0,0.0,50381.929
2018-03-05,55837.291000000034,201633.2299999997,16.209150238225742,486.0,0.0,55837.291000000034
2018-03-12,48066.60899999998,182919.68000000005,16.304159441072507,406.0,0.0,48066.60899999998
2018-03-19,51097.445999999996,221553.02000000083,16.059972257001657,438.0,0.0,51097.445999999996
2018-03-26,49600.23799999997,192542.68000000023,15.954213137660266,744.0,0.0,49600.23799999997
2018-04-02,51924.438999999984,205917.4799999988,15.822218007422757,943.0,0.0,51924.438999999984
2018-04-09,53815.74299999999,216331.9499999996,16.204217173364732,1371.0,0.0,53815.74299999999
2018-04-16,58639.941000000006,267023.67000000016,16.451203464816658,2050.0,0.0,58639.941000000006
2018-04-23,53444.13799999999,214309.52000000025,17.001250763310228,2177.0,0.0,53444.13799999999
2018-04-30,59061.742999999995,247481.02999999977,17.14364986501459,1987.0,0.0,59061.742999999995
2018-05-07,60434.74399999999,251317.25999999742,17.389047794796088,3293.0,0.0,60434.74399999999
2018-05-14,65907.163,299672.1399999958,17.479063618743584,3927.0,0.0,65907.163
2018-05-21,65111.49600000002,452630.77999999234,17.676288690744244,2757.0,0.0,65111.49600000002
2018-05-28,57898.12500000005,265590.9599999963,17.286242964945544,1378.0,0.0,57898.12500000005
2018-06-04,55811.99400000001,243867.00999999465,17.16079785177071,2559.0,0.0,55811.99400000001
2018-06-11,57670.560999999994,259656.1999999982,16.847655622489956,4374.0,0.0,57670.560999999994
2018-06-18,55254.632,254599.11000000095,16.511375373302425,2504.0,0.0,55254.632
2018-06-25,57160.67599999999,238755.42000000138,16.68988804861971,1217.0,0.0,57160.67599999999
2018-07-02,60727.471,253800.20000000176,16.454113703759823,1285.0,0.0,60727.471
2018-07-09,63043.49000000002,266199.180000003,16.415776500115058,1978.0,0.0,63043.49000000002
2018-07-16,63120.982,261385.93999999875,16.28675067463584,1597.0,0.0,63120.982
2018-07-23,62561.416000000005,257993.9300000008,16.40950120299669,1219.0,0.0,62561.416000000005
2018-07-30,63043.296,263327.68000000296,16.29208711068658,865.0,0.0,63043.296
2018-08-06,66020.915,283374.78000000154,16.232770935243416,704.0,0.0,66020.915
2018-08-13,65546.05199999998,278849.8099999995,16.583632710949946,1210.0,0.0,65546.05199999998
2018-08-20,61738.628999999986,259041.33999999956,15.867975984885387,351.0,0.0,61738.628999999986
2018-08-27,58048.05799999999,248521.85999999882,15.904888170324623,69.0,0.0,58048.05799999999
2018-09-03,59011.21200000002,279879.3600000007,15.774160343266779,0.0,0.0,59011.21200000002
2018-09-10,63368.56600000001,361699.7199999964,15.748248118713883,21.0,0.0,63368.56600000001
2018-09-17,60071.15400000001,267583.83999999886,15.876388519372181,50.0,0.0,60071.15400000001
2018-09-24,58145.03999999998,265665.4500000004,15.983020556432464,1008.0,0.0,58145.03999999998
2018-10-01,58140.01399999999,303964.5700000025,15.607773492503034,2180.0,0.0,58140.01399999999
2018-10-08,66975.09999999998,336992.25000000035,15.834084146179984,3953.0,0.0,66975.09999999998
2018-10-15,58244.97600000001,278065.4000000011,15.478333651387636,3015.0,0.0,58244.97600000001
2018-10-22,48015.007000000005,245002.7899999996,15.282946959246704,1966.0,0.0,48015.007000000005
2018-10-29,46653.586999999985,249389.60999999932,15.08223880269929,941.0,0.0,46653.586999999985
2018-11-05,46115.299000000006,234984.82999999906,15.447611399824755,1281.0,0.0,46115.299000000006
2018-11-12,46688.922,241875.50999999672,15.6301083202746,1329.0,0.0,46688.922
2018-11-19,48432.48899999999,247521.21999999473,15.684783199684876,847.0,0.0,48432.48899999999
2018-11-26,47302.843999999975,241601.61999999674,15.667291204502797,530.0,0.0,47302.843999999975
